Median_Multiple,real_GDP,Affordability_Rating
3.378867712166394,3893.482,Moderately_Unaffordable
3.416832517921072,3937.183,Moderately_Unaffordable
3.3978501150437332,4023.755,Moderately_Unaffordable
3.37333480280343,4050.147,Moderately_Unaffordable
3.3293182449405068,4135.553,Moderately_Unaffordable
3.401303504290572,4180.592,Moderately_Unaffordable
3.401303504290572,4245.918,Moderately_Unaffordable
3.3588994890825967,4259.046,Moderately_Unaffordable
3.4430555310821744,4362.111,Moderately_Unaffordable
3.374876213635002,4417.225,Moderately_Unaffordable
3.4430555310821744,4515.427,Moderately_Unaffordable
3.285675606048785,4619.458,Moderately_Unaffordable
3.3003159567405693,4731.888,Moderately_Unaffordable
3.4731896497126944,4748.046,Moderately_Unaffordable
3.378894908091535,4788.254,Moderately_Unaffordable
3.294756769895198,4827.537,Moderately_Unaffordable
3.3403087322143468,4870.299,Moderately_Unaffordable
3.4900983614616274,4873.287,Moderately_Unaffordable
3.370266658063803,4919.392,Moderately_Unaffordable
3.277467063333398,4956.477,Moderately_Unaffordable
3.281306472491606,5057.553,Moderately_Unaffordable
3.4185996303364434,5142.033,Moderately_Unaffordable
3.4048703145519594,5181.859,Moderately_Unaffordable
3.352819228299794,5202.212,Moderately_Unaffordable
3.1923443991056724,5283.597,Moderately_Unaffordable
3.2171875461804245,5299.625,Moderately_Unaffordable
3.2171875461804245,5334.6,Moderately_Unaffordable
3.1008549473559452,5308.556,Moderately_Unaffordable
2.8109358879882094,5300.652,Affordable
2.8697420781134855,5308.164,Affordable
2.705084745762712,5357.077,Affordable
2.6588370461500923,5299.672,Affordable
2.7429074127537607,5443.619,Affordable
2.912222685145968,5473.059,Affordable
2.8557842610152324,5518.072,Affordable
2.752459775891448,5531.032,Affordable
2.73839126805374,5632.649,Affordable
2.801102518467185,5760.47,Affordable
2.916073144225166,5814.854,Affordable
2.9872585707191845,5912.22,Affordable
2.9075843716437846,6058.544,Affordable
3.1482784421440977,6124.506,Moderately_Unaffordable
3.225300544704198,6092.301,Moderately_Unaffordable
3.3578087821629308,6150.131,Moderately_Unaffordable
3.1315073024641307,6097.258,Moderately_Unaffordable
3.1670926127194052,6111.751,Moderately_Unaffordable
3.220470578102316,6053.978,Moderately_Unaffordable
3.371573729533194,6030.464,Moderately_Unaffordable
3.1639118373024577,5957.035,Moderately_Unaffordable
3.2386499121993664,5999.61,Moderately_Unaffordable
3.2220414511111644,6102.326,Moderately_Unaffordable
3.317208807151767,6184.53,Moderately_Unaffordable
3.257892797937005,6323.649,Moderately_Unaffordable
3.3644593847854116,6370.025,Moderately_Unaffordable
3.3796831829066125,6404.895,Moderately_Unaffordable
3.44528358011634,6451.177,Moderately_Unaffordable
3.2928286340213044,6527.703,Moderately_Unaffordable
3.4777390972708813,6654.466,Moderately_Unaffordable
3.4706271563766666,6774.457,Moderately_Unaffordable
3.5580074474621264,6774.592,Moderately_Unaffordable
3.395470990781873,6796.26,Moderately_Unaffordable
3.542821618683728,7058.92,Moderately_Unaffordable
3.5940740109974163,7129.915,Moderately_Unaffordable
3.726698413923557,7225.75,Moderately_Unaffordable
3.4405906051606685,7238.727,Moderately_Unaffordable
3.582529161479178,7246.454,Moderately_Unaffordable
3.673369837523024,7300.281,Moderately_Unaffordable
3.6769724196016838,7318.535,Moderately_Unaffordable
3.2964995463464692,7341.557,Moderately_Unaffordable
3.3120246619493567,7190.289,Moderately_Unaffordable
3.3586000087580197,7181.743,Moderately_Unaffordable
3.5351524785753212,7315.677,Moderately_Unaffordable
3.222053761048779,7459.022,Moderately_Unaffordable
3.347463039173432,7403.745,Moderately_Unaffordable
3.337816171625382,7492.405,Moderately_Unaffordable
3.4402668335160214,7410.768,Moderately_Unaffordable
3.0565630395845034,7295.631,Moderately_Unaffordable
3.203867282456046,7328.912,Moderately_Unaffordable
3.190057509686839,7300.896,Moderately_Unaffordable
3.2739691006312417,7303.817,Moderately_Unaffordable
3.24904833445164,7400.066,Moderately_Unaffordable
3.319968898368729,7568.456,Moderately_Unaffordable
3.4307822794891805,7719.746,Moderately_Unaffordable
3.259469924686193,7880.794,Moderately_Unaffordable
3.217686722257858,8034.847,Moderately_Unaffordable
3.320553944836434,8173.67,Moderately_Unaffordable
3.332898011545863,8252.465,Moderately_Unaffordable
3.2398906762766857,8320.199,Moderately_Unaffordable
3.2430713106788627,8400.82,Moderately_Unaffordable
3.301822602538987,8474.787,Moderately_Unaffordable
3.258738321841563,8604.22,Moderately_Unaffordable
3.2534917912999837,8668.188,Moderately_Unaffordable
3.235573712951989,8749.127,Moderately_Unaffordable
3.3863220336690705,8788.524,Moderately_Unaffordable
3.419413128460625,8872.601,Moderately_Unaffordable
3.4347558114261507,8920.193,Moderately_Unaffordable
3.417327056981429,8986.367,Moderately_Unaffordable
3.6093117231039815,9083.256,Moderately_Unaffordable
3.7000681107255518,9162.024,Moderately_Unaffordable
3.882955653100115,9319.332,Moderately_Unaffordable
3.6798433834024586,9367.502,Moderately_Unaffordable
3.6798433834024586,9490.594,Moderately_Unaffordable
3.8471089917389345,9546.206,Moderately_Unaffordable
3.7422779755676197,9673.405,Moderately_Unaffordable
3.699729323285577,9771.725,Moderately_Unaffordable
3.7279475977852123,9846.293,Moderately_Unaffordable
3.762436599951434,9919.228,Moderately_Unaffordable
3.9711773227320686,9938.767,Moderately_Unaffordable
3.73986752438504,10047.386,Moderately_Unaffordable
3.827402761033277,10083.855,Moderately_Unaffordable
3.5315940302909583,10090.569,Moderately_Unaffordable
3.7385568316641855,9998.704,Moderately_Unaffordable
3.543033535135335,9951.916,Moderately_Unaffordable
3.5400810071893885,10029.51,Moderately_Unaffordable
3.543033535135335,10080.195,Moderately_Unaffordable
3.569881834989458,10115.329,Moderately_Unaffordable
3.4500694737064523,10236.435,Moderately_Unaffordable
3.4645049108349313,10347.429,Moderately_Unaffordable
3.4645049108349313,10449.673,Moderately_Unaffordable
3.689228291258645,10558.648,Moderately_Unaffordable
3.5543955868722947,10576.275,Moderately_Unaffordable
3.6112659162622514,10637.847,Moderately_Unaffordable
3.6112659162622514,10688.606,Moderately_Unaffordable
3.5164447027592383,10833.987,Moderately_Unaffordable
3.5084449606988906,10939.116,Moderately_Unaffordable
3.5084449606988906,11087.361,Moderately_Unaffordable
3.500348549251124,11152.176,Moderately_Unaffordable
3.482412864343049,11279.932,Moderately_Unaffordable
3.3360585885994407,11319.951,Moderately_Unaffordable
3.4361403462574236,11353.721,Moderately_Unaffordable
3.3873825668855866,11450.31,Moderately_Unaffordable
3.4898487767281425,11528.067,Moderately_Unaffordable
3.365719836347823,11614.418,Moderately_Unaffordable
3.436965000766865,11808.14,Moderately_Unaffordable
3.4394217305744177,11914.063,Moderately_Unaffordable
3.4320681081134325,12037.775,Moderately_Unaffordable
3.3746196940382065,12115.472,Moderately_Unaffordable
3.3932382854535894,12317.221,Moderately_Unaffordable
3.3746196940382065,12471.01,Moderately_Unaffordable
3.24384273441476,12577.495,Moderately_Unaffordable
3.3716466532834692,12703.742,Moderately_Unaffordable
3.311834261930872,12821.339,Moderately_Unaffordable
3.3893688433138687,12982.752,Moderately_Unaffordable
3.311276403830314,13191.67,Moderately_Unaffordable
3.3333966184203603,13315.597,Moderately_Unaffordable
3.3609278484327265,13426.748,Moderately_Unaffordable
3.369398996128839,13604.771,Moderately_Unaffordable
3.4857691169772114,13827.98,Moderately_Unaffordable
3.372236589477542,13878.147,Moderately_Unaffordable
3.329395108304506,14130.908,Moderately_Unaffordable
3.443639058099268,14145.312,Moderately_Unaffordable
3.5592884636514523,14229.765,Moderately_Unaffordable
3.3997150661240094,14183.12,Moderately_Unaffordable
3.5839163535700687,14271.694,Moderately_Unaffordable
3.4537741396136137,14214.516,Moderately_Unaffordable
3.4502274402619713,14253.574,Moderately_Unaffordable
3.7453673358251445,14372.785,Moderately_Unaffordable
3.7155949404688235,14460.848,Moderately_Unaffordable
3.5349757419738115,14519.633,Moderately_Unaffordable
3.7784673369325423,14537.58,Moderately_Unaffordable
3.613926893469844,14614.141,Moderately_Unaffordable
3.726619237459764,14743.567,Moderately_Unaffordable
3.7285622089078663,14988.782,Moderately_Unaffordable
3.8585527375201294,15162.76,Moderately_Unaffordable
4.021075771611747,15248.68,Seriously_Unaffordable
4.1137098632003575,15366.85,Seriously_Unaffordable
4.036199704932336,15512.619,Seriously_Unaffordable
4.2817839819124295,15670.88,Seriously_Unaffordable
4.209346665609826,15844.727,Seriously_Unaffordable
4.231072325819426,15922.782,Seriously_Unaffordable
4.279955061291024,16047.587,Seriously_Unaffordable
4.366236327285383,16136.734,Seriously_Unaffordable
4.301137390417423,16353.835,Seriously_Unaffordable
4.276827368832504,16396.151,Seriously_Unaffordable
4.091029346719196,16420.738,Seriously_Unaffordable
4.160368153859531,16561.866,Seriously_Unaffordable
4.2420392686131265,16611.69,Seriously_Unaffordable
3.991538115221831,16713.314,Moderately_Unaffordable
3.9849459796062705,16809.587,Moderately_Unaffordable
4.061926455331655,16915.191,Seriously_Unaffordable
3.838805543286333,16843.003,Moderately_Unaffordable
3.861782575182874,16943.291,Moderately_Unaffordable
3.7173555175474755,16854.295,Moderately_Unaffordable
3.7238084209332762,16485.35,Moderately_Unaffordable
3.4990371837477268,16298.262,Moderately_Unaffordable
3.7089122547498694,16269.145,Moderately_Unaffordable
3.598098217260738,16326.281,Moderately_Unaffordable
3.7183358562162727,16502.754,Moderately_Unaffordable
3.723613275096741,16582.71,Moderately_Unaffordable
3.666815226037392,16743.162,Moderately_Unaffordable
3.743659645352982,16872.266,Moderately_Unaffordable
3.8168205960138284,16960.864,Moderately_Unaffordable
3.7435299019201342,16920.632,Moderately_Unaffordable
3.7633282090259264,17035.114,Moderately_Unaffordable
3.6874346984537243,17031.313,Moderately_Unaffordable
3.642514716005377,17222.583,Moderately_Unaffordable
3.847752524412966,17367.01,Moderately_Unaffordable
3.8525944948715396,17444.525,Moderately_Unaffordable
4.015607500310176,17469.65,Seriously_Unaffordable
3.908415100600458,17489.852,Moderately_Unaffordable
3.954481591331283,17662.4,Moderately_Unaffordable
4.102927688219493,17709.671,Seriously_Unaffordable
4.0524254078348445,17860.45,Seriously_Unaffordable
4.172939358126321,18016.147,Seriously_Unaffordable
4.1306139601718925,17953.974,Seriously_Unaffordable
4.322735539714771,18185.911,Seriously_Unaffordable
4.21766905090226,18406.941,Seriously_Unaffordable
4.225218963759667,18500.031,Seriously_Unaffordable
4.083154563500328,18666.621,Seriously_Unaffordable
4.081742684328993,18782.243,Seriously_Unaffordable
4.176338588808426,18857.418,Seriously_Unaffordable
4.189500107279894,18892.206,Seriously_Unaffordable
4.10014263208271,19001.69,Seriously_Unaffordable
4.184935441685488,19062.709,Seriously_Unaffordable
4.154847670536115,19197.938,Seriously_Unaffordable
4.132207246997593,19304.352,Seriously_Unaffordable
4.074599844501643,19398.343,Seriously_Unaffordable
4.1409698834890545,19506.949,Seriously_Unaffordable
4.1709014696990625,19660.766,Seriously_Unaffordable
4.342333893464903,19882.352,Seriously_Unaffordable
4.1624216917299695,20044.077,Seriously_Unaffordable
3.9591931462024665,20150.476,Moderately_Unaffordable
4.151131216978442,20276.154,Seriously_Unaffordable
3.7592108830507387,20304.874,Moderately_Unaffordable
3.5801659943617334,20431.641,Moderately_Unaffordable
3.688829179494119,20602.275,Moderately_Unaffordable
3.641932436436984,20843.322,Moderately_Unaffordable
3.8523574398573777,20985.448,Moderately_Unaffordable
3.82678708091649,20693.238,Moderately_Unaffordable
3.6883713779897236,19056.617,Moderately_Unaffordable
3.8139923520745205,20548.793,Moderately_Unaffordable
3.9190870904815807,20771.691,Moderately_Unaffordable
3.925160709637547,21058.379,Moderately_Unaffordable
4.066687630999126,21389.005,Seriously_Unaffordable
4.369643697038756,21571.421,Seriously_Unaffordable
4.708535507187197,21960.388,Seriously_Unaffordable
4.354859827470467,21903.85,Seriously_Unaffordable
4.609727077349029,21919.222,Seriously_Unaffordable
4.61288658871116,22066.784,Seriously_Unaffordable
4.457117382149632,22249.459,Seriously_Unaffordable
4.148936170212766,22403.435,Seriously_Unaffordable
4.0473887814313345,22539.418,Seriously_Unaffordable
4.2108317214700195,22780.933,Seriously_Unaffordable
4.0,22960.6,Moderately_Unaffordable
3.918352405545463,23053.545,Moderately_Unaffordable
