observation_date,MEFAINUSA672N
1953-01-01,39870
1954-01-01,38730
1955-01-01,41290
1956-01-01,43950
1957-01-01,44230
1958-01-01,44150
1959-01-01,46540
1960-01-01,47560
1961-01-01,48060
1962-01-01,49420
1963-01-01,51100
1964-01-01,53210
1965-01-01,55300
1966-01-01,58240
1967-01-01,59450
1968-01-01,62220
1969-01-01,65230
1970-01-01,65050
1971-01-01,65040
1972-01-01,68020
1973-01-01,69490
1974-01-01,67740
1975-01-01,66480
1976-01-01,68580
1977-01-01,68940
1978-01-01,71100
1979-01-01,72120
1980-01-01,69710
1981-01-01,67760
1982-01-01,66880
1983-01-01,67330
1984-01-01,69490
1985-01-01,70520
1986-01-01,73690
1987-01-01,74940
1988-01-01,75110
1989-01-01,76470
1990-01-01,75360
1991-01-01,73920
1992-01-01,73360
1993-01-01,72340
1994-01-01,74290
1995-01-01,75990
1996-01-01,77120
1997-01-01,79550
1998-01-01,82300
1999-01-01,84240
2000-01-01,84600
2001-01-01,83840
2002-01-01,83250
2003-01-01,83120
2004-01-01,83220
2005-01-01,84070
2006-01-01,84910
2007-01-01,86970
2008-01-01,84120
2009-01-01,82490
2010-01-01,81580
2011-01-01,80090
2012-01-01,80210
2013-01-01,83360
2014-01-01,83650
2015-01-01,88820
2016-01-01,90540
2017-01-01,93170
2018-01-01,94340
2019-01-01,101700
2020-01-01,98680
2021-01-01,99200
2022-01-01,96430
2023-01-01,100800